lvl;cid;all;character_id;value_id;type;name;pos;count_chara;count_value;count_goods;count_sub;filter_status;filter_id;filter_name;filter_pos
;22;;45;113;value;1.7;;;;22;;;;;
;22;;45;949;value;2.0;;;;4;;;;;
;22;;45;1020;value;1.52;;;;33;;;;;
;22;;45;549;value;1.4;;;;24;;;;;
;22;;45;196;value;1.9;;;;2;;;;;
;22;;45;2194;value;1.33;;;;9;;;;;
;22;;49;;character;Грузоподъемность;;;21;164;;1;26;Грузоподъемность;30
;22;;49;168;value;650;;;;20;;;;;
;22;;49;207;value;550;;;;9;;;;;
;22;;49;647;value;510;;;;11;;;;;
;22;;49;633;value;410;;;;14;;;;;
;22;;49;200;value;700;;;;3;;;;;
;22;;49;727;value;950;;;;2;;;;;
;22;;49;1010;value;560;;;;23;;;;;
;22;;49;548;value;220;;;;10;;;;;
;22;;49;1124;value;260;;;;7;;;;;
;22;;49;1132;value;240;;;;7;;;;;
;22;;49;1254;value;370;;;;11;;;;;
;22;;49;125;value;800;;;;1;;;;;
;22;;49;1433;value;280;;;;5;;;;;
;22;;49;486;value;690;;;;1;;;;;
;22;;49;1334;value;300;;;;10;;;;;
;22;;49;55;value;450;;;;7;;;;;
;22;;49;1796;value;630;;;;6;;;;;
;22;;49;218;value;740;;;;5;;;;;
;22;;49;2193;value;390;;;;9;;;;;
;22;;49;719;value;660;;;;1;;;;;
;22;;49;1543;value;1100;;;;2;;;;;
;22;;8;;character;Серия;;;7;170;;1;27;Серия;30
;22;;8;131;value;Classic (SCD);;;;75;;;;;
;22;;8;938;value;Large (LSCD);;;;5;;;;;
;22;;8;477;value;Self Bailing (SB);;;;28;;;;;
;22;;8;1129;value;CP;;;;24;;;;;
;22;;8;1140;value;SCFO;;;;6;;;;;
;22;;8;1728;value;Light;;;;21;;;;;
;22;;8;1799;value;Middle (MSCD);;;;11;;;;;
;22;;9;;character;Тип крепления сиденья;;;1;164;;1;28;Тип крепления сиденья;30
;22;;9;46;value;передвижные;;;;164;;;;;
;22;;82;;character;Наличие стрингера;;;2;118;;0;;;
;22;;82;155;value;нет;;;;31;;;;;
;22;;82;127;value;есть;;;;87;;;;;
;22;;83;;character;Толщина пайола;;;4;137;;0;;;
;22;;83;169;value;60 мм;;;;25;;;;;
;22;;83;128;value;12 мм;;;;87;;;;;
;22;;83;538;value;6 мм;;;;19;;;;;
;22;;83;1138;value;75;;;;6;;;;;
;22;;78;;character;Размер сумки с пайолом;;;5;90;;0;;;
;22;;78;648;value;0.96 х 0.62 х 0.09;;;;60;;;;;
;22;;78;735;value;1.1 x 0.62 x 0.12;;;;2;;;;;
;22;;78;1022;value;1.0 х 0.3 х 0.6;;;;5;;;;;
;22;;78;1727;value;96x62x9 см;;;;21;;;;;
;22;;78;953;value;1.2 х 0.62 х 0.12;;;;2;;;;;
;22;;40;;character;Тип;;;1;89;;0;;;
;22;;40;145;value;надувная ПВХ;;;;89;;;;;
;22;;5;;character;Количество отсеков плавучести;;;5;95;;0;;;
;22;;5;943;value;4+1;;;;4;;;;;
;22;;5;151;value;3+1;;;;61;;;;;
;22;;5;1123;value;2+1;;;;12;;;;;
;22;;5;378;value;2;;;;12;;;;;
;22;;5;56;value;3;;;;6;;;;;
;22;;12;;character;Наличие киля;;;1;6;;0;;;
;22;;12;1139;value;нет;;;;6;;;;;
2;29;0;;;category;Посейдон;0;33;304;66;0;11;;;
;29;;43;;character;Длина кокпита;;;30;170;;1;86;Длина кокпита;30
;29;;43;142;value;2.1;;;;8;;;;;
;29;;43;219;value;2.79;;;;12;;;;;
;29;;43;704;value;2.42;;;;10;;;;;
;29;;43;116;value;2.4;;;;15;;;;;
;29;;43;478;value;2.6;;;;28;;;;;
;29;;43;166;value;2.22;;;;10;;;;;
;29;;43;187;value;2.25;;;;5;;;;;
;29;;43;1554;value;2.65;;;;4;;;;;
;29;;43;1271;value;2.3;;;;12;;;;;
;29;;43;1773;value;2.60;;;;5;;;;;
;29;;43;49;value;2.2;;;;10;;;;;
;29;;43;1842;value;2.53;;;;1;;;;;
;29;;43;2068;value;3.56;;;;2;;;;;
;29;;43;2084;value;2.74;;;;1;;;;;
;29;;43;2102;value;3.1;;;;2;;;;;
;29;;43;2111;value;3.76;;;;2;;;;;
;29;;43;2125;value;3.5;;;;2;;;;;
;29;;43;1021;value;1.7;;;;2;;;;;
;29;;43;541;value;1.9;;;;2;;;;;
;29;;43;2156;value;3.05;;;;2;;;;;
;29;;43;1060;value;3.3;;;;2;;;;;
;29;;43;2159;value;2.85;;;;2;;;;;
;29;;43;2144;value;2.18;;;;2;;;;;
;29;;43;2651;value;2.12;;;;3;;;;;
;29;;43;2661;value;2.32;;;;3;;;;;
;29;;43;195;value;2.5;;;;14;;;;;
;29;;43;2681;value;1.92;;;;2;;;;;
;29;;43;2657;value;1.98;;;;1;;;;;
;29;;43;473;value;2.45;;;;5;;;;;
;29;;43;2686;value;1.78;;;;1;;;;;
;29;;11;;character;Тип днища;;;2;154;;1;87;Тип днища;30
;29;;11;11;value;килевое;;;;124;;;;;
;29;;11;542;value;плоское;;;;30;;;;;
;29;;36;;character;Диаметр баллона;;;11;170;;0;;;
